Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Sussman, Diana Wald","
MUS 95K - Chamber Singers (A)
",SP22,6,"
4
","
75.0%
","
75.0%
","
2.50
","
A (4.00)
","
N/A
"
"Sussman, Diana Wald","
MUS 95K - Chamber Singers (A)
",WI22,7,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Byers, Barbara Lee","
MUS 95K - Chamber Singers (A)
",FA21,17,"
6
","
100.0%
","
83.3%
","
1.50
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP20,16,"
7
","
100.0%
","
100.0%
","
1.07
","
A- (3.86)
","
N/A
"
"Oram, Celeste Alice","
MUS 95K - Chamber Singers (A)
",WI20,23,"
14
","
100.0%
","
100.0%
","
2.07
","
A- (3.92)
","
A- (3.99)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA19,21,"
11
","
100.0%
","
100.0%
","
1.10
","
A (4.00)
","
A- (3.94)
"
"Oram, Celeste Alice","
MUS 95K - Chamber Singers (A)
",SP19,20,"
8
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
A- (3.98)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",WI19,24,"
6
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA18,24,"
10
","
100.0%
","
100.0%
","
2.72
","
A- (3.88)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP18,20,"
11
","
100.0%
","
100.0%
","
1.77
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",WI18,18,"
7
","
100.0%
","
100.0%
","
1.64
","
A- (3.86)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA17,14,"
8
","
100.0%
","
100.0%
","
1.07
","
A- (3.86)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP17,22,"
12
","
100.0%
","
100.0%
","
0.86
","
A (4.00)
","
A (4.00)
"
"Lander, Bonnie Elizabeth","
MUS 95K - Chamber Singers (A)
",WI17,9,"
6
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA16,17,"
6
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP16,15,"
6
","
100.0%
","
100.0%
","
2.17
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",WI16,18,"
11
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA15,14,"
6
","
100.0%
","
100.0%
","
1.83
","
A- (3.80)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP15,24,"
14
","
100.0%
","
100.0%
","
0.93
","
A (4.00)
","
A (4.00)
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",WI15,13,"
8
","
100.0%
","
100.0%
","
1.07
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA14,11,"
6
","
100.0%
","
100.0%
","
0.83
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP14,15,"
9
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",FA13,9,"
8
","
100.0%
","
100.0%
","
1.25
","
A (4.00)
","
N/A
"
"Larson, Philip Clarion","
MUS 95K - Chamber Singers (A)
",SP13,15,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
