Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ornelas, Tricia","
WCWP 10A - The Writing Course A (0)
",SP23,60,"
46
","
97.7%
","
97.7%
","
4.64
","
B+ (3.67)
","
B+ (3.62)
"
"Susi, Natalie","
WCWP 10A - The Writing Course A (0)
",SP23,19,"
17
","
100.0%
","
100.0%
","
4.50
","
A- (3.71)
","
N/A
"
"Gagnon, Jeffrey C","
WCWP 10A - The Writing Course A (0)
",WI23,110,"
37
","
100.0%
","
97.0%
","
3.91
","
A- (3.85)
","
B+ (3.63)
"
"Lince, Anthony","
WCWP 10A - The Writing Course A (0)
",WI23,59,"
52
","
98.1%
","
100.0%
","
3.46
","
B+ (3.65)
","
B+ (3.44)
"
"Moon, He Jin","
WCWP 10A - The Writing Course A (0)
",WI23,60,"
53
","
90.2%
","
90.0%
","
4.05
","
B+ (3.68)
","
B+ (3.38)
"
"Ornelas, Tricia","
WCWP 10A - The Writing Course A (0)
",WI23,60,"
52
","
100.0%
","
96.2%
","
3.73
","
A- (3.73)
","
A- (3.74)
"
"Susi, Natalie","
WCWP 10A - The Writing Course A (0)
",WI23,20,"
8
","
87.5%
","
87.5%
","
4.50
","
A- (3.88)
","
B+ (3.61)
"
"Boulter, Sherry Lee","
WCWP 10A - The Writing Course A (0)
",FA22,60,"
54
","
98.1%
","
100.0%
","
3.83
","
A- (3.78)
","
A- (3.77)
"
"Gagnon, Jeffrey C","
WCWP 10A - The Writing Course A (0)
",FA22,137,"
53
","
96.2%
","
98.1%
","
4.50
","
A- (3.83)
","
B+ (3.68)
"
"Johnson, Eric Lynn","
WCWP 10A - The Writing Course A (0)
",FA22,60,"
56
","
100.0%
","
100.0%
","
3.70
","
A- (3.95)
","
A- (3.89)
"
"Lince, Anthony","
WCWP 10A - The Writing Course A (0)
",FA22,40,"
36
","
100.0%
","
97.2%
","
3.50
","
A- (3.89)
","
B+ (3.64)
"
"Moon, He Jin","
WCWP 10A - The Writing Course A (0)
",FA22,39,"
35
","
91.4%
","
91.4%
","
3.93
","
B+ (3.51)
","
B+ (3.41)
"
"Ornelas, Tricia","
WCWP 10A - The Writing Course A (0)
",FA22,40,"
36
","
97.2%
","
97.2%
","
4.11
","
A- (3.92)
","
B+ (3.65)
"
"Savage, Sarah S","
WCWP 10A - The Writing Course A (0)
",FA22,60,"
45
","
95.5%
","
100.0%
","
3.70
","
A- (3.89)
","
A- (3.92)
"
"Susi, Natalie","
WCWP 10A - The Writing Course A (0)
",FA22,40,"
36
","
97.1%
","
97.1%
","
3.53
","
B+ (3.69)
","
A- (3.78)
"
"Zimmerman-Liu, Teresa Jean","
WCWP 10A - The Writing Course A (A)
",S322,11,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
