Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Murray, Kourtney Kristine","
LTLA 1 - Beginning Latin (A)
",FA22,40,"
17
","
100.0%
","
100.0%
","
4.85
","
A- (3.94)
","
A- (3.92)
"
"Murray, Kourtney Kristine","
LTLA 1 - Beginning Latin (A)
",FA21,39,"
13
","
100.0%
","
100.0%
","
5.12
","
A- (3.73)
","
B+ (3.44)
"
"Murray, Kourtney Kristine","
LTLA 1 - Beginning Latin (A)
",FA20,40,"
15
","
100.0%
","
100.0%
","
4.21
","
A (4.00)
","
B+ (3.57)
"
"Murray, Kourtney Kristine","
LTLA 1 - Beginning Latin (B)
",FA19,38,"
13
","
92.3%
","
100.0%
","
5.12
","
B+ (3.55)
","
B+ (3.50)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (A)
",FA18,24,"
11
","
90.9%
","
90.9%
","
8.14
","
B (3.18)
","
B (3.30)
"
"Murray, Kourtney Kristine","
LTLA 1 - Beginning Latin (B)
",FA18,34,"
19
","
100.0%
","
94.4%
","
5.61
","
B (3.25)
","
B (3.23)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (A)
",FA17,27,"
15
","
92.9%
","
85.7%
","
5.64
","
B+ (3.50)
","
B+ (3.37)
"
"Mebane, Julia","
LTLA 1 - Beginning Latin (B)
",FA17,32,"
22
","
100.0%
","
100.0%
","
5.86
","
A- (3.76)
","
A- (3.75)
"
"Edwards, Leslie","
LTLA 1 - Beginning Latin (A)
",FA16,29,"
18
","
82.4%
","
94.1%
","
5.00
","
B+ (3.57)
","
B- (2.86)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (B)
",FA16,22,"
11
","
100.0%
","
100.0%
","
9.50
","
B+ (3.33)
","
B- (2.95)
"
"Edwards, Leslie","
LTLA 1 - Beginning Latin (A)
",FA15,24,"
13
","
92.3%
","
92.3%
","
6.65
","
B+ (3.50)
","
B+ (3.53)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (B)
",FA15,23,"
10
","
87.5%
","
75.0%
","
8.75
","
B (3.17)
","
B- (2.77)
"
"Edwards, Leslie","
LTLA 1 - Beginning Latin (A)
",FA14,24,"
10
","
77.8%
","
100.0%
","
5.83
","
B+ (3.50)
","
B (3.04)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (B)
",FA14,19,"
9
","
100.0%
","
87.5%
","
8.25
","
B+ (3.57)
","
N/A
"
"Edwards, Leslie","
LTLA 1 - Beginning Latin (A)
",FA13,24,"
8
","
100.0%
","
100.0%
","
5.50
","
B (3.20)
","
B+ (3.44)
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (B)
",FA13,11,"
4
","
100.0%
","
75.0%
","
9.00
","
C+ (2.67)
","
N/A
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (C)
",FA13,13,"
7
","
100.0%
","
100.0%
","
8.50
","
B (3.20)
","
N/A
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (A)
",FA12,14,"
5
","
100.0%
","
100.0%
","
8.00
","
B (3.25)
","
N/A
"
"Wirshbo, Eliot","
LTLA 1 - Beginning Latin (B)
",FA12,18,"
7
","
85.7%
","
100.0%
","
6.79
","
B+ (3.50)
","
N/A
"
"Chamberlain, Charles Thoms","
LTLA 1 - Beginning Latin (C)
",FA12,26,"
15
","
100.0%
","
100.0%
","
7.07
","
B+ (3.67)
","
B (3.16)
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (A)
",FA10,14,"
11
","
90.9%
","
100.0%
","
9.23
","
B (3.18)
","
N/A
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (B)
",FA10,12,"
9
","
88.9%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Chamberlain, Charles Thoms         ","
LTLA 1 - Beginning Latin                (C)
",FA10,27,"
16
","
81.3%
","
100.0%
","
6.13
","
B- (2.73)
","
C+ (2.58)
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (A)
",FA09,22,"
15
","
93.3%
","
100.0%
","
7.36
","
B+ (3.36)
","
B (3.09)
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (B)
",FA09,24,"
17
","
100.0%
","
100.0%
","
6.97
","
B+ (3.53)
","
B (3.09)
"
"Chamberlain, Charles Thoms         ","
LTLA 1 - Beginning Latin                (C)
",FA09,25,"
22
","
95.5%
","
100.0%
","
6.86
","
B+ (3.53)
","
B- (2.93)
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (A)
",FA08,17,"
13
","
92.3%
","
92.3%
","
8.04
","
B+ (3.33)
","
N/A
"
"Wirshbo, Eliot                     ","
LTLA 1 - Beginning Latin                (B)
",FA08,17,"
17
","
94.1%
","
100.0%
","
6.03
","
B+ (3.33)
","
N/A
"
"Chamberlain, Charles Thoms         ","
LTLA 1 - Beginning Latin                (C)
",FA08,27,"
26
","
96.2%
","
100.0%
","
5.35
","
B+ (3.58)
","
B (3.09)
"
"Wirshbo, Eliot                ","
LTLA 1 - Beginning Latin                (B)
",FA07,16,"
17
","
94.1%
","
100.0%
","
9.68
","
B (3.12)
","
N/A
"
"Chamberlain, Charles Thoms    ","
LTLA 1 - Beginning Latin                (C)
",FA07,27,"
24
","
83.3%
","
95.8%
","
5.58
","
B- (2.94)
","
C+ (2.52)
"
