Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rodriguez, Bretton Sigfred","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI23,221,"
192
","
66.5%
","
92.2%
","
6.62
","
B (3.17)
","
B (3.25)
"
"Demetriou, Denise","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI23,127,"
121
","
60.8%
","
83.3%
","
7.30
","
B (3.00)
","
B- (2.97)
"
"West, Geoffrey Scott","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI23,271,"
246
","
75.2%
","
93.9%
","
7.91
","
B (3.07)
","
B (3.21)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI23,365,"
325
","
66.4%
","
94.9%
","
7.51
","
B (3.12)
","
B (3.26)
"
"Demetriou, Denise","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI22,126,"
99
","
64.6%
","
89.6%
","
6.27
","
B- (2.98)
","
C+ (2.63)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI22,347,"
297
","
64.4%
","
95.1%
","
7.47
","
B (3.01)
","
B (3.19)
"
"Caldwell, Michael Alan","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI22,250,"
177
","
79.2%
","
97.5%
","
5.21
","
B (3.08)
","
B (3.05)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI22,379,"
335
","
69.2%
","
95.7%
","
6.41
","
B (3.06)
","
B (3.03)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI21,23,"
15
","
61.5%
","
61.5%
","
9.21
","
B (3.07)
","
C+ (2.53)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI21,29,"
10
","
50.0%
","
62.5%
","
8.94
","
B- (2.89)
","
C+ (2.37)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI21,86,"
55
","
60.0%
","
66.0%
","
6.19
","
B- (2.76)
","
C+ (2.50)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI21,45,"
42
","
66.7%
","
100.0%
","
7.21
","
B (3.10)
","
B (3.24)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (E)
",WI21,45,"
35
","
74.3%
","
94.3%
","
7.93
","
B (3.03)
","
B- (2.90)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (F)
",WI21,209,"
182
","
77.3%
","
98.3%
","
7.38
","
B (3.07)
","
B (3.17)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (G)
",WI21,30,"
29
","
79.3%
","
96.6%
","
7.19
","
B+ (3.31)
","
B (3.28)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (H)
",WI21,30,"
25
","
80.0%
","
88.0%
","
5.62
","
B (3.20)
","
B+ (3.36)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (I)
",WI21,29,"
26
","
50.0%
","
96.2%
","
7.58
","
B- (2.80)
","
B+ (3.33)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (J)
",WI21,208,"
181
","
69.7%
","
98.9%
","
7.17
","
B (3.02)
","
B (3.13)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (N)
",WI21,236,"
210
","
80.0%
","
92.8%
","
7.45
","
B (3.18)
","
B (3.27)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI20,344,"
287
","
71.1%
","
93.5%
","
6.40
","
B (3.14)
","
B (3.14)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI20,348,"
307
","
70.1%
","
94.0%
","
6.26
","
B (3.23)
","
B+ (3.33)
"
"Demetriou, Denise","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI20,188,"
111
","
54.1%
","
64.2%
","
5.54
","
B (3.01)
","
B- (2.99)
"
"Greene, Blythe Anastasia","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI20,191,"
145
","
51.7%
","
84.3%
","
6.19
","
B- (2.99)
","
B- (2.96)
"
"Markman, Kristina","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI19,190,"
167
","
69.9%
","
93.0%
","
6.32
","
B- (2.98)
","
B (3.03)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI19,286,"
242
","
81.8%
","
94.5%
","
7.46
","
B (3.13)
","
B (3.14)
"
"Johnson, Monte","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI19,122,"
80
","
72.6%
","
91.2%
","
5.90
","
B (3.03)
","
B (3.02)
"
"Demetriou, Denise","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI19,141,"
124
","
65.0%
","
82.0%
","
6.04
","
B (3.02)
","
B (3.01)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (E)
",WI19,302,"
268
","
78.3%
","
98.0%
","
6.37
","
B- (2.96)
","
B (3.10)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI18,126,"
101
","
71.4%
","
79.6%
","
6.56
","
B (3.03)
","
B (3.04)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI18,301,"
255
","
80.2%
","
93.6%
","
7.09
","
B (3.15)
","
B (3.13)
"
"Johnson, Monte","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI18,188,"
116
","
48.6%
","
69.6%
","
7.55
","
B- (2.80)
","
B- (2.88)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI18,318,"
285
","
74.1%
","
97.8%
","
6.89
","
B- (2.90)
","
B- (2.97)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI17,149,"
82
","
67.1%
","
70.0%
","
6.82
","
B- (2.70)
","
C+ (2.56)
"
"Lee, John Hoon","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI17,284,"
246
","
65.8%
","
94.2%
","
7.72
","
B- (2.95)
","
B (3.13)
"
"Lyon, Antony J.","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI17,189,"
169
","
75.3%
","
94.3%
","
6.37
","
B (3.03)
","
B (3.09)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI17,300,"
266
","
60.6%
","
92.7%
","
6.88
","
B (3.03)
","
B (3.05)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI16,177,"
92
","
68.6%
","
73.6%
","
6.27
","
B- (2.74)
","
C+ (2.59)
"
"Lee, John Hoon","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI16,285,"
261
","
75.4%
","
96.5%
","
6.59
","
B- (2.91)
","
B- (2.96)
"
"Edwards, Anthony","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI16,181,"
98
","
71.9%
","
91.7%
","
7.03
","
B (3.02)
","
B (3.17)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI16,302,"
255
","
73.9%
","
94.4%
","
6.84
","
B (3.06)
","
B- (2.95)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI15,180,"
77
","
54.8%
","
68.5%
","
6.24
","
B- (2.74)
","
C+ (2.62)
"
"Lee, John Hoon","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI15,281,"
239
","
77.2%
","
97.9%
","
6.76
","
B (3.14)
","
B (3.26)
"
"Edwards, Anthony","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI15,134,"
117
","
61.2%
","
81.0%
","
6.50
","
B- (2.92)
","
B- (2.90)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI15,253,"
204
","
78.9%
","
97.1%
","
7.39
","
B (3.17)
","
B (3.04)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI14,191,"
81
","
70.9%
","
78.5%
","
6.47
","
B (3.03)
","
B- (2.85)
"
"Lee, John Hoon","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI14,250,"
219
","
81.3%
","
97.7%
","
6.93
","
B (3.01)
","
B (3.05)
"
"Edwards, Anthony","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI14,195,"
162
","
68.3%
","
85.1%
","
7.28
","
B- (2.93)
","
B- (2.77)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI14,280,"
246
","
74.4%
","
93.0%
","
6.73
","
B (3.23)
","
B (3.16)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI13,187,"
80
","
75.6%
","
87.2%
","
7.23
","
B- (2.75)
","
C+ (2.40)
"
"Lee, John Hoon","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI13,192,"
82
","
63.0%
","
95.1%
","
7.68
","
B- (2.85)
","
B- (2.77)
"
"Edwards, Anthony","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI13,207,"
165
","
65.9%
","
84.1%
","
6.78
","
B- (2.90)
","
B- (2.86)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (D)
",WI13,249,"
200
","
72.4%
","
96.5%
","
7.52
","
B (3.10)
","
B (3.02)
"
"Chodorow, Stanley A.               ","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI10,173,"
74
","
70.3%
","
87.8%
","
7.51
","
B- (2.90)
","
C+ (2.63)
"
"Edwards, Anthony                   ","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI10,231,"
202
","
68.3%
","
93.1%
","
7.60
","
B (3.03)
","
B- (2.86)
"
"Caldwell, Michael A.               ","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI10,225,"
160
","
72.3%
","
98.7%
","
7.44
","
C+ (2.59)
","
C+ (2.60)
"
"Chodorow, Stanley A.","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI09,159,"
90
","
77.3%
","
77.3%
","
5.59
","
B- (2.92)
","
C+ (2.48)
"
"Edwards, Anthony","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI09,203,"
128
","
78.1%
","
96.1%
","
6.75
","
B- (2.90)
","
C+ (2.69)
"
"Cox, Stephen D.","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI09,258,"
163
","
73.6%
","
96.9%
","
6.33
","
B- (2.92)
","
B- (2.89)
"
"Chodorow, Stanley A.          ","
HUM 1 - Foundatns/West Civ:Israel&Grce (A)
",WI08,150,"
66
","
69.7%
","
80.3%
","
6.28
","
B- (2.88)
","
B- (2.72)
"
"Edwards, Anthony              ","
HUM 1 - Foundatns/West Civ:Israel&Grce (B)
",WI08,255,"
187
","
77.2%
","
97.2%
","
6.49
","
B- (2.92)
","
B- (2.79)
"
"Cox, Stephen D.               ","
HUM 1 - Foundatns/West Civ:Israel&Grce (C)
",WI08,283,"
191
","
75.8%
","
95.3%
","
6.49
","
B (3.03)
","
B- (2.87)
"
