Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Yang, Kesong","
NANO 120A - NanoEng Systems Design I (A)
",WI23,7,"
3
","
100.0%
","
100.0%
","
15.17
","
A (4.00)
","
N/A
"
"Horvath, Stephen","
NANO 120A - NanoEng Systems Design I (B)
",WI23,25,"
11
","
70.0%
","
100.0%
","
7.59
","
A- (3.70)
","
B+ (3.48)
"
"Yang, Kesong","
NANO 120A - NanoEng Systems Design I (A)
",WI22,29,"
28
","
89.3%
","
96.4%
","
6.71
","
B+ (3.68)
","
A- (3.71)
"
"Xu, Sheng","
NANO 120A - NanoEng Systems Design I (B)
",WI22,27,"
26
","
100.0%
","
100.0%
","
8.00
","
B+ (3.52)
","
B+ (3.63)
"
"Jokerst, Jesse Vincent","
NANO 120A - NanoEng Systems Design I (A)
",WI21,20,"
18
","
76.5%
","
88.2%
","
12.06
","
B+ (3.56)
","
B+ (3.57)
"
"Xu, Sheng","
NANO 120A - NanoEng Systems Design I (B)
",WI21,16,"
14
","
64.3%
","
78.6%
","
9.79
","
B+ (3.50)
","
N/A
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI20,29,"
11
","
80.0%
","
80.0%
","
13.59
","
B+ (3.55)
","
B+ (3.39)
"
"Jokerst, Jesse Vincent","
NANO 120A - NanoEng Systems Design I (B)
",WI20,30,"
12
","
50.0%
","
75.0%
","
12.83
","
B (3.25)
","
B+ (3.44)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI19,29,"
9
","
77.8%
","
100.0%
","
9.17
","
B (3.22)
","
B+ (3.57)
"
"Jokerst, Jesse Vincent","
NANO 120A - NanoEng Systems Design I (B)
",WI19,29,"
7
","
57.1%
","
100.0%
","
11.36
","
B+ (3.43)
","
B (3.24)
"
"Chen, Yi","
NANO 120A - NanoEng Systems Design I (A)
",WI18,27,"
11
","
90.9%
","
100.0%
","
9.05
","
B (3.18)
","
B+ (3.62)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI17,80,"
29
","
85.2%
","
88.9%
","
9.37
","
B+ (3.46)
","
B (3.21)
"
"Chen, Yi","
NANO 120A - NanoEng Systems Design I (A)
",WI16,72,"
27
","
91.7%
","
83.3%
","
7.67
","
B (3.25)
","
B+ (3.39)
"
"Jokerst, Jesse Vincent","
NANO 120A - NanoEng Systems Design I (A)
",WI16,72,"
27
","
91.7%
","
100.0%
","
7.67
","
B (3.25)
","
B+ (3.39)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI16,72,"
27
","
91.7%
","
100.0%
","
7.67
","
B (3.25)
","
B+ (3.39)
"
"Chen, Yi","
NANO 120A - NanoEng Systems Design I (A)
",WI15,83,"
17
","
93.8%
","
87.5%
","
6.10
","
B+ (3.43)
","
B+ (3.30)
"
"Heller, Michael J","
NANO 120A - NanoEng Systems Design I (A)
",WI15,83,"
17
","
93.8%
","
81.3%
","
6.10
","
B+ (3.43)
","
B+ (3.30)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI15,83,"
17
","
93.8%
","
100.0%
","
6.10
","
B+ (3.43)
","
B+ (3.30)
"
"Heller, Michael J","
NANO 120A - NanoEng Systems Design I (A)
",WI14,70,"
20
","
100.0%
","
93.8%
","
9.30
","
B (3.13)
","
B+ (3.49)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI14,70,"
19
","
100.0%
","
100.0%
","
8.75
","
B+ (3.40)
","
B+ (3.49)
"
"Tao, Andrea Rae","
NANO 120A - NanoEng Systems Design I (A)
",WI14,70,"
19
","
100.0%
","
94.1%
","
8.88
","
B+ (3.44)
","
B+ (3.49)
"
"Heller, Michael J","
NANO 120A - NanoEng Systems Design I (A)
",WI13,23,"
9
","
100.0%
","
77.8%
","
8.21
","
B+ (3.44)
","
A- (3.77)
"
"Sirbuly, Donald","
NANO 120A - NanoEng Systems Design I (A)
",WI13,23,"
10
","
100.0%
","
100.0%
","
8.10
","
B+ (3.50)
","
A- (3.77)
"
