Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rabin, Jeffrey Mark","
MATH 31AH - Honors Linear Algebra (A)
",FA22,52,"
38
","
78.9%
","
97.3%
","
8.50
","
B+ (3.45)
","
B+ (3.31)
"
"Rhoades, Brendon Patrick","
MATH 31AH - Honors Linear Algebra (A)
",FA21,56,"
45
","
84.4%
","
97.8%
","
10.86
","
B (3.16)
","
B+ (3.33)
"
"Novak, Jonathan I","
MATH 31AH - Honors Linear Algebra (A)
",FA20,58,"
45
","
95.3%
","
97.7%
","
10.05
","
A- (3.84)
","
B+ (3.60)
"
"Lin, Jianfeng","
MATH 31AH - Honors Linear Algebra (A)
",FA19,65,"
53
","
76.5%
","
90.0%
","
7.40
","
B+ (3.50)
","
B (3.21)
"
"Agler, Jim","
MATH 31AH - Honors Linear Algebra (A)
",FA18,60,"
36
","
80.0%
","
80.0%
","
7.53
","
B+ (3.44)
","
B+ (3.45)
"
"Rogalski, Daniel","
MATH 31AH - Honors Linear Algebra (A)
",FA17,56,"
37
","
81.8%
","
97.0%
","
12.56
","
B+ (3.47)
","
B+ (3.42)
"
"Ioana, Adrian","
MATH 31AH - Honors Linear Algebra (A)
",FA16,67,"
38
","
83.8%
","
91.9%
","
7.61
","
B+ (3.56)
","
C+ (2.67)
"
"Sorensen, Claus M","
MATH 31AH - Honors Linear Algebra (A)
",FA15,71,"
40
","
92.1%
","
81.6%
","
7.24
","
B+ (3.37)
","
B- (2.79)
"
"Ioana, Adrian","
MATH 31AH - Honors Linear Algebra (A)
",FA14,67,"
43
","
76.3%
","
86.8%
","
8.55
","
B+ (3.38)
","
B- (2.77)
"
"Oprea, Dragos N.","
MATH 31AH - Honors Linear Algebra (A)
",FA13,50,"
30
","
89.7%
","
96.6%
","
7.53
","
B+ (3.39)
","
B+ (3.36)
"
"Rabin, Jeffrey Mark","
MATH 31AH - Honors Linear Algebra (A)
",FA12,36,"
25
","
83.3%
","
100.0%
","
8.50
","
B (3.22)
","
B (3.18)
"
"Eggers, John Dietrich              ","
MATH 31AH - Honors Linear Algebra          (A)
",FA11,33,"
18
","
23.5%
","
70.6%
","
9.94
","
B (3.11)
","
B- (2.95)
"
"Oprea, Dragos N.                   ","
MATH 31AH - Honors Linear Algebra          (A)
",FA10,28,"
22
","
72.7%
","
100.0%
","
8.12
","
B (3.18)
","
B+ (3.38)
"
"Meyer, David A.                    ","
MATH 31AH - Honors Linear Algebra          (A)
",FA09,37,"
37
","
81.1%
","
100.0%
","
8.50
","
B+ (3.34)
","
B (3.29)
"
"Rabin, Jeffrey Mark                ","
MATH 31AH - Honors Linear Algebra          (A)
",FA08,33,"
21
","
76.2%
","
100.0%
","
7.64
","
B (3.10)
","
B (3.21)
"
